,Bootstrap_nr,Path,Salary,Effort,Policy_influence,Teaching_percent,Research_percent,Academic_Resources,Perceived_Autonomy,DoF,DoF Baseline,chi2,chi2 p-value,chi2 Baseline,CFI,GFI,AGFI,NFI,TLI,RMSEA,AIC,BIC,LogLik
0,0,Mediation,0.16821749525511903,0.029446744904446993,-1.1854369984866668,-0.039401617415055684,-0.21884371572805145,-1.9686548112776634,2.5514855674703503,112.0,134.0,22.942785780732148,1.0,1206.6401455637513,1.0830261803901267,0.9809862237179146,0.9772513748053621,0.9809862237179147,1.0993348943953303,0.0,46.417738911673645,79.23283883134903,0.7911305441631775
1,0,Moderation,-0.003599030653492627,-0.0005529962545918552,0.02411955094489847,0.001674105084356271,0.004487282083417775,0.04232191458654992,-0.0553798250092289,112.0,134.0,22.942785780732148,1.0,1206.6401455637513,1.0830261803901267,0.9809862237179146,0.9772513748053621,0.9809862237179147,1.0993348943953303,0.0,46.417738911673645,79.23283883134903,0.7911305441631775
2,0,Direct Path,0.02530610231772117,-0.013397955658633838,0.27423479244646215,-0.016521507491959717,0.016290534761949065,0.36562076160090495,0.3986813949679502,112.0,134.0,22.942785780732148,1.0,1206.6401455637513,1.0830261803901267,0.9809862237179146,0.9772513748053621,0.9809862237179147,1.0993348943953303,0.0,46.417738911673645,79.23283883134903,0.7911305441631775
3,1,Mediation,0.1753473832029594,0.005909092432680336,-0.10486089901522082,-0.17313528941910586,-0.017695864750020458,-1.2280267346979088,1.1406885309656922,112.0,134.0,690.9850818261685,0.0,1231.508907356676,0.47245523207584683,0.4389118278410943,0.3286980797384521,0.4389118278410942,0.36883036694788823,0.4296805149993181,0.34585642578147713,33.16095634545685,23.82707178710926
4,1,Moderation,-0.0036885257942193684,-0.00023466798720668663,0.00431910304650704,0.0038604583993449826,0.00013752347729951173,0.024414462456194563,-0.025617230816570406,112.0,134.0,690.9850818261685,0.0,1231.508907356676,0.47245523207584683,0.4389118278410943,0.3286980797384521,0.4389118278410942,0.36883036694788823,0.4296805149993181,0.34585642578147713,33.16095634545685,23.82707178710926
5,1,Direct Path,0.018417812148485084,-0.012925112134188727,0.18992978377302833,-0.011155197883600842,0.008333250119161868,0.6322574354195399,0.10793420636153314,112.0,134.0,690.9850818261685,0.0,1231.508907356676,0.47245523207584683,0.4389118278410943,0.3286980797384521,0.4389118278410942,0.36883036694788823,0.4296805149993181,0.34585642578147713,33.16095634545685,23.82707178710926
6,2,Mediation,0.036119700230524306,-0.07558968614197452,1.663278049833039,0.08607279786368792,-0.25780186022108154,2.2061844139410414,-0.636033705449563,112.0,134.0,538.0850341141648,0.0,1371.3031024153465,0.6556340695481957,0.6076104304246026,0.5305339078294353,0.6076104304246026,0.5879907617808771,0.36860405885553127,10.890687302471392,43.70578722214677,18.554656348764304
7,2,Moderation,-0.0007357784269595929,0.001712688143320861,-0.03692568949974993,-0.0016866301116367952,0.005360612099633579,-0.052337872272258,0.014838004017207048,112.0,134.0,538.0850341141648,0.0,1371.3031024153465,0.6556340695481957,0.6076104304246026,0.5305339078294353,0.6076104304246026,0.5879907617808771,0.36860405885553127,10.890687302471392,43.70578722214677,18.554656348764304
8,2,Direct Path,0.012649995910407127,-0.012941351295382807,0.29922190344124183,-0.0011159469931602429,0.02075061941909743,0.6682275995792749,0.06934937541725605,112.0,134.0,538.0850341141648,0.0,1371.3031024153465,0.6556340695481957,0.6076104304246026,0.5305339078294353,0.6076104304246026,0.5879907617808771,0.36860405885553127,10.890687302471392,43.70578722214677,18.554656348764304
9,3,Mediation,-0.0020275209559510025,-0.019737613145470914,-0.9058857785367913,0.060857495293854355,-0.0151483558227783,0.21678826635357826,0.8860673918393736,112.0,134.0,264.06241888627824,2.653433028854124e-14,1412.0989158092355,0.8810245302571131,0.8130000554989795,0.7762679235434219,0.8130000554989795,0.8576543487004745,0.22020284225389977,29.788798697498052,62.60389861717343,9.105600651250974
