,Bootstrap_nr,Path,Salary,Effort,Policy_influence,Teaching_percent,Research_percent,Academic_Resources,Perceived_Autonomy,DoF,DoF Baseline,chi2,chi2 p-value,chi2 Baseline,CFI,GFI,AGFI,NFI,TLI,RMSEA,AIC,BIC,LogLik
0,0,Mediation,-0.24603719715870873,0.06613673235863178,3.22849100897818,0.052086115639713194,0.050443894628720516,0.48338950545544573,-3.609578719450975,112.0,134.0,64.83422476841488,0.9998936303287033,1010.5484697443453,1.0538085192771387,0.9358425382754604,0.9232401797224258,0.9358425382754605,1.064378049849434,0.0,42.10597956650774,68.29099844710733,2.947010216746131
1,0,Moderation,0.005670496459837334,-0.001306788582619886,-0.06931444929985559,-0.0006722356803180037,-0.0008099610269670153,-0.012453714808686773,0.06978804969284057,112.0,134.0,64.83422476841488,0.9998936303287033,1010.5484697443453,1.0538085192771387,0.9358425382754604,0.9232401797224258,0.9358425382754605,1.064378049849434,0.0,42.10597956650774,68.29099844710733,2.947010216746131
2,0,Direct Path,0.013322545698395138,-0.009617591286787056,0.25231869452916744,0.007885328934872466,0.006586241804725845,0.7254300356385213,0.48846626134739196,112.0,134.0,64.83422476841488,0.9998936303287033,1010.5484697443453,1.0538085192771387,0.9358425382754604,0.9232401797224258,0.9358425382754605,1.064378049849434,0.0,42.10597956650774,68.29099844710733,2.947010216746131
3,1,Mediation,0.014585734146078517,0.009836103209399483,-0.053702074298137656,0.03551161295565703,-0.02680648509589084,-0.6050389343946156,-0.3308173652776498,112.0,134.0,2658.3272487504782,0.0,693.2166173376164,-3.5533826603245977,-2.83477138641037,-3.588030051598121,-2.8347713864103703,-4.447797111459786,1.0404912924050742,-193.66611352277076,-167.48109464217117,120.83305676138538
4,1,Moderation,-0.0008945386807704067,-8.960932135781855e-05,0.0054885237804599574,-0.0008481395800575719,0.00045728294654184923,0.0010033967232709875,0.005069544215359377,112.0,134.0,2658.3272487504782,0.0,693.2166173376164,-3.5533826603245977,-2.83477138641037,-3.588030051598121,-2.8347713864103703,-4.447797111459786,1.0404912924050742,-193.66611352277076,-167.48109464217117,120.83305676138538
5,1,Direct Path,0.030460404532548883,-0.0023489590351215527,0.13869588042373765,0.016190794409502756,-0.002176078389644171,0.9094918011687577,0.6648702219412772,112.0,134.0,2658.3272487504782,0.0,693.2166173376164,-3.5533826603245977,-2.83477138641037,-3.588030051598121,-2.8347713864103703,-4.447797111459786,1.0404912924050742,-193.66611352277076,-167.48109464217117,120.83305676138538
6,2,Mediation,0.010539407543863635,-0.0008085344434344126,-0.08325643784573895,-0.01986269276254397,-0.002640717535415221,-0.4777938227651497,-0.23639765198660334,112.0,134.0,2350.8949035277656,0.0,652.5591237203905,-3.3175306365547392,-2.6025776333104806,-3.310226811282182,-2.6025776333104806,-4.1656170115922775,0.9756593147398716,-165.71771850252415,-139.53269962192456,106.85885925126207
7,2,Moderation,-0.0008207857768726841,-6.560309262855663e-06,0.0013887656058525813,0.00010402543942229275,7.553231931637713e-05,0.006445054114140712,0.0019590653008436133,112.0,134.0,2350.8949035277656,0.0,652.5591237203905,-3.3175306365547392,-2.6025776333104806,-3.310226811282182,-2.6025776333104806,-4.1656170115922775,0.9756593147398716,-165.71771850252415,-139.53269962192456,106.85885925126207
8,2,Direct Path,-0.00727329067000536,-0.0042479050451206275,-0.04341399260478159,0.007431103413878002,-0.0032306075998268175,0.9126888379029819,0.6713387661540446,112.0,134.0,2350.8949035277656,0.0,652.5591237203905,-3.3175306365547392,-2.6025776333104806,-3.310226811282182,-2.6025776333104806,-4.1656170115922775,0.9756593147398716,-165.71771850252415,-139.53269962192456,106.85885925126207
9,3,Mediation,-1.0566704178468884,0.18152222438084753,3.3472366642386726,-0.13636109552338987,-0.6360652533154262,8.947052895562475,-1.8193851503400562,112.0,134.0,1899.5281179783738,0.0,1645.9397874824053,-0.18227467309056156,-0.15406902027919966,-0.38076114926261395,-0.15406902027919975,-0.41450719816192166,0.8717817682891845,-124.68437436167034,-98.49935548107075,86.34218718083517
10,3,Moderation,0.023845013568501727,-0.004132971585091505,-0.08452691527817795,0.002832469022120683,0.014567565835085986,-0.1889323119004122,0.038542621273860794,112.0,134.0,1899.5281179783738,0.0,1645.9397874824053,-0.18227467309056156,-0.15406902027919966,-0.38076114926261395,-0.15406902027919975,-0.41450719816192166,0.8717817682891845,-124.68437436167034,-98.49935548107075,86.34218718083517
11,3,Direct Path,0.022485138190271658,-0.003823078714186035,0.23069815583281428,0.009514097001930826,0.0003320026599114075,0.25217253196274586,0.6517736322926062,112.0,134.0,1899.5281179783738,0.0,1645.9397874824053,-0.18227467309056156,-0.15406902027919966,-0.38076114926261395,-0.15406902027919975,-0.41450719816192166,0.8717817682891845,-124.68437436167034,-98.49935548107075,86.34218718083517
12,4,Mediation,-0.01727981456408529,0.000729130646090952,-0.034229718939396914,-0.0023335914765253425,0.005546553776693566,-0.5736442281029429,-0.20936655880888258,112.0,134.0,1070.1254154121625,0.0,656.216136452847,-0.834729623485458,-0.630751449052575,-0.9510776265450449,-0.6307514490525751,-1.195122942384387,0.6382524955293076,-49.28412867383295,-23.099109793233367,48.64206433691648
13,4,Moderation,0.00017452959499839017,-7.933894981900233e-05,-0.0005790900329072287,-0.00014044224740701063,-7.099010073433734e-05,0.009628255623594126,-0.00010567116057001116,112.0,134.0,1070.1254154121625,0.0,656.216136452847,-0.834729623485458,-0.630751449052575,-0.9510776265450449,-0.6307514490525751,-1.195122942384387,0.6382524955293076,-49.28412867383295,-23.099109793233367,48.64206433691648
14,4,Direct Path,0.017699415319959524,-0.009421096694159546,0.1560651540042698,0.005809042316595444,0.0036047675916026437,0.5658384854147894,0.5791687976181863,112.0,134.0,1070.1254154121625,0.0,656.216136452847,-0.834729623485458,-0.630751449052575,-0.9510776265450449,-0.6307514490525751,-1.195122942384387,0.6382524955293076,-49.28412867383295,-23.099109793233367,48.64206433691648
15,5,Mediation,-0.017513492553148033,0.007101511354248757,-0.05791810939150121,0.02215698955251813,0.003106781953790507,-0.37023361829656576,-0.3414340319000909,112.0,134.0,3134.7919359663847,0.0,720.7970416555471,-4.151341471385227,-3.3490632658068433,-4.203343550161759,-3.349063265806843,-5.163212117550183,1.1336669056856745,-236.98108508785316,-210.79606620725357,142.49054254392658
16,5,Moderation,0.00016894537587568167,-0.00013685544304994327,0.002184810194598248,-0.0005348017204907876,-3.0142264660025446e-05,0.005921588272725573,0.000761352725469893,112.0,134.0,3134.7919359663847,0.0,720.7970416555471,-4.151341471385227,-3.3490632658068433,-4.203343550161759,-3.349063265806843,-5.163212117550183,1.1336669056856745,-236.98108508785316,-210.79606620725357,142.49054254392658
17,5,Direct Path,-0.011085988663963538,-0.007081845820191627,0.23393380014480894,0.0037274634796752256,0.005695739627949482,0.751918575926043,0.5359076541424936,112.0,134.0,3134.7919359663847,0.0,720.7970416555471,-4.151341471385227,-3.3490632658068433,-4.203343550161759,-3.349063265806843,-5.163212117550183,1.1336669056856745,-236.98108508785316,-210.79606620725357,142.49054254392658
18,6,Mediation,-0.0015259492466341098,-0.023574780376818292,-0.39622284769107663,-0.018430739828600128,-0.009694817357678201,-0.8000542228914984,-0.24166790446417669,112.0,134.0,2569.2582435571435,0.0,737.18665719469,-3.073794097146311,-2.485220762587142,-3.16981769809533,-2.485220762587142,-3.8740036519429077,1.0221314272507305,-185.56893123246758,-159.383912351868,116.78446561623379
19,6,Moderation,0.00042221782906154295,6.160470483499216e-05,-0.0009632342507768013,-0.00044100013305724717,0.00041427126662657923,0.006479303928596852,-0.005612177857298477,112.0,134.0,2569.2582435571435,0.0,737.18665719469,-3.073794097146311,-2.485220762587142,-3.16981769809533,-2.485220762587142,-3.8740036519429077,1.0221314272507305,-185.56893123246758,-159.383912351868,116.78446561623379
20,6,Direct Path,-0.0428818566384232,0.014897715837070797,0.7227462625683743,0.031528892411873254,0.003022734007629155,0.9625013996995675,1.124394346631211,112.0,134.0,2569.2582435571435,0.0,737.18665719469,-3.073794097146311,-2.485220762587142,-3.16981769809533,-2.485220762587142,-3.8740036519429077,1.0221314272507305,-185.56893123246758,-159.383912351868,116.78446561623379
21,7,Mediation,0.010482154482485505,0.0024001328234759473,-0.27736349992155745,0.04298771376646228,-0.023058686516425286,-0.045799735697900947,0.057336718406536785,112.0,134.0,2067.033780369995,0.0,729.0711520903092,-2.285378182932476,-1.8351605662130956,-2.3920671060049536,-1.8351605662130956,-2.930720326008498,0.9117136860853884,-139.9121618518177,-113.72714297121811,93.95608092590885
22,7,Moderation,3.1120245173760424e-05,-2.8559090928365154e-05,0.005628016781506843,-0.0008995779057984166,0.0006407321178048174,-0.0008881151884462067,-0.008955042319074676,112.0,134.0,2067.033780369995,0.0,729.0711520903092,-2.285378182932476,-1.8351605662130956,-2.3920671060049536,-1.8351605662130956,-2.930720326008498,0.9117136860853884,-139.9121618518177,-113.72714297121811,93.95608092590885
23,7,Direct Path,0.0068582382442728095,-0.007180039200369802,0.05809020891945472,0.0024921943556618148,-0.01528198630473854,0.4877057367874412,0.8177869375270559,112.0,134.0,2067.033780369995,0.0,729.0711520903092,-2.285378182932476,-1.8351605662130956,-2.3920671060049536,-1.8351605662130956,-2.930720326008498,0.9117136860853884,-139.9121618518177,-113.72714297121811,93.95608092590885
24,8,Mediation,0.372221791006212,-0.04644938063211348,-0.5196167090196846,0.03577689514703554,-0.08230169223824955,-3.5758243656658677,1.0550540712937402,112.0,134.0,840.9422170941019,0.0,960.2802605514064,0.11780269734671778,0.12427418156942938,-0.0477433899080042,0.12427418156942943,-0.05548605853160536,0.5567085521435836,-28.44929246310018,-2.264273582500593,38.22464623155009
25,8,Moderation,-0.0072997161772942395,0.0008197802533305373,0.007628849052433221,-0.0011598276705033302,0.0021345229384603544,0.07529943744550349,-0.03173097076730275,112.0,134.0,840.9422170941019,0.0,960.2802605514064,0.11780269734671778,0.12427418156942938,-0.0477433899080042,0.12427418156942943,-0.05548605853160536,0.5567085521435836,-28.44929246310018,-2.264273582500593,38.22464623155009
26,8,Direct Path,-0.020167260077047333,-0.008080653593237487,0.3444074500845365,0.006999577435546889,0.00018119920821281802,0.7942937335487114,0.7533619640438068,112.0,134.0,840.9422170941019,0.0,960.2802605514064,0.11780269734671778,0.12427418156942938,-0.0477433899080042,0.12427418156942943,-0.05548605853160536,0.5567085521435836,-28.44929246310018,-2.264273582500593,38.22464623155009
27,9,Mediation,-0.07877402792798406,-0.01092374768089084,0.6410838662021228,0.0336589739236544,-0.05543110566234217,-0.7767083462748514,0.7517219189123464,112.0,134.0,1003.8132404025969,0.0,982.3398166111103,-0.05124529456268023,-0.02185946596928745,-0.22258186107039735,-0.021859465969287346,-0.2577399059946354,0.6157696777931985,-43.25574912750881,-17.07073024690922,45.6278745637544
28,9,Moderation,0.0014751097556458775,4.996267626469661e-05,-0.015182543498779691,-0.0009356749647809179,0.0013895831683306966,0.01547408596579537,-0.020596352227504326,112.0,134.0,1003.8132404025969,0.0,982.3398166111103,-0.05124529456268023,-0.02185946596928745,-0.22258186107039735,-0.021859465969287346,-0.2577399059946354,0.6157696777931985,-43.25574912750881,-17.07073024690922,45.6278745637544
29,9,Direct Path,0.011717788309391462,0.0005948660669260717,0.2759108784862607,0.011601822966129412,0.0019035141891727751,0.46361698624891856,0.6404251476783852,112.0,134.0,1003.8132404025969,0.0,982.3398166111103,-0.05124529456268023,-0.02185946596928745,-0.22258186107039735,-0.021859465969287346,-0.2577399059946354,0.6157696777931985,-43.25574912750881,-17.07073024690922,45.6278745637544
30,10,Mediation,0.0026317460997017667,-0.002566265848588899,-0.037856983772386554,-0.0031671565703464072,-0.006861508554492934,-0.37713938586093476,-0.18383264441589228,112.0,134.0,2864.5196630324913,0.0,783.2000915046387,-3.2398633318936056,-2.657455730794594,-3.3758845350578177,-2.657455730794594,-4.072693629229851,1.0817989519211784,-212.41087845749922,-186.22585957689964,130.2054392287496
31,10,Moderation,-5.8478949291719964e-05,7.3678440699395295e-06,-5.2322325018576395e-05,-0.00024858798653215787,0.00013419520319776185,-0.002066749231121146,0.0021530596456090347,112.0,134.0,2864.5196630324913,0.0,783.2000915046387,-3.2398633318936056,-2.657455730794594,-3.3758845350578177,-2.657455730794594,-4.072693629229851,1.0817989519211784,-212.41087845749922,-186.22585957689964,130.2054392287496
32,10,Direct Path,0.045764632894294596,0.002615705954784532,0.30232808413552914,0.008906409536558977,0.002203766024950488,0.17004973865973091,0.9251586969938604,112.0,134.0,2864.5196630324913,0.0,783.2000915046387,-3.2398633318936056,-2.657455730794594,-3.3758845350578177,-2.657455730794594,-4.072693629229851,1.0817989519211784,-212.41087845749922,-186.22585957689964,130.2054392287496
33,11,Mediation,0.078205926047486,0.4805311033285715,-1.1123376397000324,-0.2178855265301814,-0.8257786533924824,3.1893809310724732,-10.925907972944184,112.0,134.0,3006.434413647372,0.0,3021.21524139635,-0.0025003928171045686,0.0048923451551722286,-0.19057522990363318,0.0048923451551722615,-0.19942011283474997,1.1093362324159224,-225.31221942248834,-199.12720054188875,136.65610971124417
