,Bootstrap_nr,Path,Salary,Effort,Policy_influence,Teaching_percent,Research_percent,Academic_Resources,Perceived_Autonomy,DoF,DoF Baseline,chi2,chi2 p-value,chi2 Baseline,CFI,GFI,AGFI,NFI,TLI,RMSEA,AIC,BIC,LogLik
0,0,Mediation,-0.000469046041209117,8.5128020543501e-05,0.0005535595646522757,2.219336960882048e-06,-4.315824850712731e-05,-8.901500368729855e-05,-0.0030447931821259966,28.0,43.0,7.184136453730616e-06,1.0,323.13876557592204,1.099950439769733,0.9999999777676428,0.9999999658574514,0.9999999777676428,1.1534953182178043,0.0,33.999999895882084,83.76331254355458,5.205895980964215e-08
1,0,Direct Path,0.0017451264063601411,-0.0039044056945921287,0.11890473520197381,0.004483168701162499,0.007480669391891522,0.25444461104867466,0.43500751754802114,28.0,43.0,7.184136453730616e-06,1.0,323.13876557592204,1.099950439769733,0.9999999777676428,0.9999999658574514,0.9999999777676428,1.1534953182178043,0.0,33.999999895882084,83.76331254355458,5.205895980964215e-08
2,1,Mediation,0.0003280939975535057,-7.169198881955909e-05,0.000789432965331512,-2.385953860943264e-05,1.885484654869182e-05,0.0024186534036551312,0.005000184282128983,28.0,43.0,214.96151679361293,0.0,389.6372124806983,0.46064210632312463,0.4483034219831823,0.152751683759887,0.4483034219831823,0.17170037756765563,0.220768350178331,30.88461569864329,80.64792834631578,1.5576921506783545
3,1,Direct Path,0.0006703307997420858,-0.005883494829940988,0.06509521683798686,0.003475568158748511,0.003461583356801909,0.24374346006523315,0.5175377611208074,28.0,43.0,214.96151679361293,0.0,389.6372124806983,0.46064210632312463,0.4483034219831823,0.152751683759887,0.4483034219831823,0.17170037756765563,0.220768350178331,30.88461569864329,80.64792834631578,1.5576921506783545
4,2,Mediation,-0.000413970556296767,2.492602847517776e-05,0.0012336774352108128,0.0001642676953254968,0.00013122176253921094,-0.0046740931562860594,-0.007648515411305593,28.0,43.0,328.6533196911635,0.0,377.809383531716,0.1020164473296995,0.13010810737692002,-0.33590540652830136,0.13010810737692002,-0.3790461701722473,0.2799585287379707,29.236908410272992,79.00022105794548,2.381545794863504
5,2,Direct Path,0.009149235249526882,-0.002913198956634297,0.05546810783990885,0.002878060262553901,0.0036525526467613726,0.47523542268759295,0.36135305515086863,28.0,43.0,328.6533196911635,0.0,377.809383531716,0.1020164473296995,0.13010810737692002,-0.33590540652830136,0.13010810737692002,-0.3790461701722473,0.2799585287379707,29.236908410272992,79.00022105794548,2.381545794863504
6,3,Mediation,-0.00018275680015771177,0.00010579775621014605,0.0008001254078137814,7.300097012359822e-05,0.00013049870207805538,-0.0021164400583693526,-0.006067807384159177,28.0,43.0,386.62190220418705,0.0,368.67586574822576,-0.10116204459998679,-0.0486770036317401,-0.6104682555773153,-0.048677003631740046,-0.6910702827785509,0.30575889884718094,28.396784026026275,78.16009667369877,2.8016079869868626
7,3,Direct Path,0.008226211989313503,-0.0060219098406700785,0.11095081611476369,0.008906094075804023,0.008622585402889136,0.3823241493633352,0.30966662451174715,28.0,43.0,386.62190220418705,0.0,368.67586574822576,-0.10116204459998679,-0.0486770036317401,-0.6104682555773153,-0.048677003631740046,-0.6910702827785509,0.30575889884718094,28.396784026026275,78.16009667369877,2.8016079869868626
8,4,Mediation,0.0009289908909295669,-0.0007824833548480157,0.007120865167560301,6.613162147329116e-05,0.00014102744560962047,0.011787727339774281,0.018428088176007704,28.0,43.0,83.8395209458534,1.764975092743981e-07,315.0491176071386,0.7947447084666149,0.7338842857817491,0.5913222960219718,0.7338842857817491,0.6847865165737301,0.12065117134744824,32.7849344790456,82.5482471267181,0.6075327604771985
9,4,Direct Path,0.005996230609040972,-0.001507408808373241,0.11416014428695204,0.001286740270058216,0.005306094131574072,0.30667145275645513,0.4488021324876579,28.0,43.0,83.8395209458534,1.764975092743981e-07,315.0491176071386,0.7947447084666149,0.7338842857817491,0.5913222960219718,0.7338842857817491,0.6847865165737301,0.12065117134744824,32.7849344790456,82.5482471267181,0.6075327604771985
