,Bootstrap_nr,Path,Salary,Effort,Policy_influence,Teaching_percent,Research_percent,Academic_Resources,Perceived_Autonomy,DoF,DoF Baseline,chi2,chi2 p-value,chi2 Baseline,CFI,GFI,AGFI,NFI,TLI,RMSEA,AIC,BIC,LogLik
0,0,Mediation,-0.0005149622465180976,0.000681339650166069,-0.17963912293809856,-0.01336945225938784,-0.004343981174153374,0.06358088688991768,0.14855984028482083,112.0,134.0,11.339031954970533,1.0,3207.6712439742546,1.0327494257046421,0.9964650267772075,0.9957706570370161,0.9964650267772076,1.039182348610911,0.0,47.80617039393213,114.09834482907829,0.09691480303393618
1,0,Moderation,0.0001370266147460403,-4.9306123535863395e-05,0.005542561266738252,0.0003594307315196897,0.00017194518539912095,-0.00042612919536975447,-0.004642849416507293,112.0,134.0,11.339031954970533,1.0,3207.6712439742546,1.0327494257046421,0.9964650267772075,0.9957706570370161,0.9964650267772076,1.039182348610911,0.0,47.80617039393213,114.09834482907829,0.09691480303393618
2,0,Direct Path,0.002945591155313748,0.001697666131268275,0.06584339236102077,0.004800055934000421,0.0032685743163431546,0.35589536360338064,0.3020373037322785,112.0,134.0,11.339031954970533,1.0,3207.6712439742546,1.0327494257046421,0.9964650267772075,0.9957706570370161,0.9964650267772076,1.039182348610911,0.0,47.80617039393213,114.09834482907829,0.09691480303393618
3,1,Mediation,0.025525518120840366,-0.004784192791879007,0.1549471814884623,-0.005030931473204639,-0.006809370738419815,-0.013060229749348267,0.07751324080877373,112.0,134.0,263.39637036060896,3.219646771412954e-14,3516.932420479901,0.9552470012572312,0.9251062178997834,0.9103949392729551,0.9251062178997834,0.9464562336470443,0.10794927395864959,43.49749794255369,109.78967237769984,2.2512510287231535
4,1,Moderation,-0.0005916520358128369,0.00011341872044999201,-0.0038273989249001613,0.00014014149672296437,0.00019391956450733085,0.00043152316863742863,-0.0008990033336390139,112.0,134.0,263.39637036060896,3.219646771412954e-14,3516.932420479901,0.9552470012572312,0.9251062178997834,0.9103949392729551,0.9251062178997834,0.9464562336470443,0.10794927395864959,43.49749794255369,109.78967237769984,2.2512510287231535
5,1,Direct Path,0.013036956084760978,0.004463856127237469,-0.24682058580735197,0.0017850791217914775,-0.0015525764403415928,0.15936508319321815,0.3945089888026259,112.0,134.0,263.39637036060896,3.219646771412954e-14,3516.932420479901,0.9552470012572312,0.9251062178997834,0.9103949392729551,0.9251062178997834,0.9464562336470443,0.10794927395864959,43.49749794255369,109.78967237769984,2.2512510287231535
6,2,Mediation,0.0031475456837160715,-0.005325149024398558,0.10323190739121965,-0.007858649210202871,0.0008294815665669469,0.2782980253016458,-0.017947281591783996,112.0,134.0,334.1240682610406,0.0,3229.845113931286,0.9282509104665853,0.8965510553989529,0.8762307269951758,0.8965510553989529,0.914157339308236,0.130755451177774,42.28847746562324,108.5806519007694,2.855761267188381
7,2,Moderation,3.31626855743275e-05,0.00012690484913744678,-0.0019909674952195834,0.00022238849247506028,1.5482729333329775e-05,-0.0067303501403363115,0.0017501160060863637,112.0,134.0,334.1240682610406,0.0,3229.845113931286,0.9282509104665853,0.8965510553989529,0.8762307269951758,0.8965510553989529,0.914157339308236,0.130755451177774,42.28847746562324,108.5806519007694,2.855761267188381
8,2,Direct Path,0.01063015920788771,0.0033263784824243002,0.02998708956121993,0.0002076978963729563,0.0009334472518845899,0.25757600282552173,0.3659893707586083,112.0,134.0,334.1240682610406,0.0,3229.845113931286,0.9282509104665853,0.8965510553989529,0.8762307269951758,0.8965510553989529,0.914157339308236,0.130755451177774,42.28847746562324,108.5806519007694,2.855761267188381
9,3,Mediation,0.02257096049734176,-0.005403423882888863,0.01948883232834687,-0.009684411109115366,-0.007196613087920709,-0.020788189572468748,0.2821159878261617,112.0,134.0,311.007081372763,0.0,3572.730936914962,0.9421277543885707,0.9129497611590879,0.8958506071010516,0.912949761159088,0.9307599918577543,0.12376454776308958,42.68363963465362,108.97581406979978,2.6581801826731883
