,Bootstrap_nr,Path,Salary,Effort,Policy_influence,Teaching_percent,Research_percent,Academic_Resources,Perceived_Autonomy,DoF,DoF Baseline,chi2,chi2 p-value,chi2 Baseline,CFI,GFI,AGFI,NFI,TLI,RMSEA,AIC,BIC,LogLik
0,0,Mediation,-0.0011296386313324365,-0.0007968216098504687,0.0042351320109014585,-0.0005617448799075555,-0.000898600606430766,0.020857727306456946,-0.000438510526692596,28.0,43.0,1.9836378939430688e-05,1.0,227.41187056738192,1.1518339360555978,0.9999999127733354,0.9999998660447651,0.9999999127733354,1.233173544656811,0.0,33.99999944898947,72.70332347226241,2.7550526304764844e-07
1,0,Direct Path,-0.006147848187300415,0.005930241679977142,-0.05281581832139753,-0.002966061325720246,-0.006085598507708115,0.31129109222776796,0.39731395928396596,28.0,43.0,1.9836378939430688e-05,1.0,227.41187056738192,1.1518339360555978,0.9999999127733354,0.9999998660447651,0.9999999127733354,1.233173544656811,0.0,33.99999944898947,72.70332347226241,2.7550526304764844e-07
2,1,Mediation,0.006755966357196147,-0.0015073244366670027,-0.038025620531195146,0.0013651275206404722,0.0013797412114625975,0.027286260897171264,0.02780705945090373,28.0,43.0,69.60180258819929,2.1149944125942177e-05,252.05149333863665,0.8009973431722408,0.7238587970011042,0.5759260096802672,0.7238587970011042,0.6943887770145127,0.14465980801323566,32.06661659477224,70.76994061804518,0.966691702613879
3,1,Direct Path,0.026953846491391403,0.0030768542364913243,0.19485342601679537,-0.003903382016717245,-0.009183254182540554,0.3875966990608662,0.3133515013789742,28.0,43.0,69.60180258819929,2.1149944125942177e-05,252.05149333863665,0.8009973431722408,0.7238587970011042,0.5759260096802672,0.7238587970011042,0.6943887770145127,0.14465980801323566,32.06661659477224,70.76994061804518,0.966691702613879
4,2,Mediation,-0.008591565075985862,-0.001651642496804134,-0.01529472798868805,-0.00022436006960676168,-0.0008744335605634673,0.008115227888551926,0.038857764205002296,28.0,43.0,54.729954860703685,0.0018318043841860643,233.50285037979918,0.8596873757667507,0.7656133328921517,0.6400490469415188,0.7656133328921517,0.7845198984989386,0.11595538512023551,32.479723476091564,71.1830474993645,0.7601382619542179
5,2,Direct Path,0.11351411801480271,0.0022720486878870273,-0.12238140803215702,0.00697125250375574,0.00456406568975006,0.29694120730731766,0.35699766382878667,28.0,43.0,54.729954860703685,0.0018318043841860643,233.50285037979918,0.8596873757667507,0.7656133328921517,0.6400490469415188,0.7656133328921517,0.7845198984989386,0.11595538512023551,32.479723476091564,71.1830474993645,0.7601382619542179
6,3,Mediation,0.010159851365071939,-0.0008362360556953461,-0.03140627834101142,0.0008965439921461658,-0.0003744799470882179,0.0008458838811988532,0.03889106616224849,28.0,43.0,147.08528313045173,0.0,216.63957895321215,0.31418122614464694,0.32105996586054175,-0.04265790957131088,0.3210599658605417,-0.05322168842072087,0.24474896095501042,29.914297690820785,68.61762171409373,2.0428511545896075
7,3,Direct Path,0.06335944193892915,0.006476327631409604,-0.08626698678905331,-0.004831043035417859,-0.00621417312013552,0.37713007150934785,0.27112317753063403,28.0,43.0,147.08528313045173,0.0,216.63957895321215,0.31418122614464694,0.32105996586054175,-0.04265790957131088,0.3210599658605417,-0.05322168842072087,0.24474896095501042,29.914297690820785,68.61762171409373,2.0428511545896075
8,4,Mediation,0.0029168168299794836,-0.00015008102381333367,-0.011230213675338604,-0.00019784635430429283,-0.0006566595282168331,0.00020691791815598775,0.0029904494985259484,28.0,43.0,91.12345257827158,1.3222413608460215e-08,190.07126010207875,0.5707968196202368,0.520582688148996,0.2637519853716723,0.520582688148996,0.34086654441679226,0.1781915815281429,31.4687929839369,70.17211700720983,1.2656035080315498
9,4,Direct Path,0.08988622771562003,0.005721954011835999,-0.11542467299625847,-0.0016712215115401478,-0.004489990820679796,0.39205640341908865,0.3227009567010577,28.0,43.0,91.12345257827158,1.3222413608460215e-08,190.07126010207875,0.5707968196202368,0.520582688148996,0.2637519853716723,0.520582688148996,0.34086654441679226,0.1781915815281429,31.4687929839369,70.17211700720983,1.2656035080315498
