,Bootstrap_nr,Path,Salary,Effort,Policy_influence,Teaching_percent,Research_percent,Academic_Resources,Perceived_Autonomy,DoF,DoF Baseline,chi2,chi2 p-value,chi2 Baseline,CFI,GFI,AGFI,NFI,TLI,RMSEA,AIC,BIC,LogLik
0,0,Mediation,0.0013296913014771874,-0.0005507267627994355,-0.01402071006950555,-0.0011759092939125791,-0.00018387439209206874,0.013754886016479551,0.05752407500124807,28.0,43.0,5.139853408486772e-05,1.0,1059.5810254079693,1.0275432532200068,0.9999999514916436,0.999999925505024,0.9999999514916434,1.0422985674450105,0.0,33.999999749885475,102.31608439632146,1.250572605471234e-07
1,0,Direct Path,0.056275280550932255,-0.000971326849932861,0.052233394052191524,-0.0051434147003670515,-0.006785839412959127,0.5470559075854821,0.20610373991733538,28.0,43.0,5.139853408486772e-05,1.0,1059.5810254079693,1.0275432532200068,0.9999999514916436,0.999999925505024,0.9999999514916434,1.0422985674450105,0.0,33.999999749885475,102.31608439632146,1.250572605471234e-07
2,1,Mediation,0.0010813192456136113,-0.0008446277087660475,-0.010608907346634,-4.6841678456537025e-05,0.0005947520996405164,0.01883072427206295,0.05280991400194857,28.0,43.0,59.45916412110937,0.000477286772168406,1002.6114688843357,0.9672167693476148,0.9406957071942603,0.9089255503340427,0.9406957071942604,0.9496543243552656,0.052348307582163946,33.71066100184375,102.02674564827973,0.14466949907812499
3,1,Direct Path,0.05626616055406705,0.000771553735866661,0.03191154835380316,-0.00032194493507458466,-0.0027945661771580574,0.49691072106889117,0.24202389402929148,28.0,43.0,59.45916412110937,0.000477286772168406,1002.6114688843357,0.9672167693476148,0.9406957071942603,0.9089255503340427,0.9406957071942604,0.9496543243552656,0.052348307582163946,33.71066100184375,102.02674564827973,0.14466949907812499
4,2,Mediation,0.0003596998576322347,-0.0007124545579631356,-0.01607475222718217,-0.00027510818589145835,0.00031988982350621647,0.009550998271976995,0.033000172169164586,28.0,43.0,112.12739032492732,5.036526751212023e-12,1009.437868756274,0.9129510617861112,0.8889209590848031,0.8294143300230904,0.8889209590848031,0.8663177020286706,0.08560473052893135,33.45436793029232,101.7704525767283,0.27281603485383776
5,2,Direct Path,0.05664265172515603,-0.0004654553281535869,0.06619982602470648,0.0006763752399099834,-0.002944615861986152,0.5748519230742163,0.22085177583203056,28.0,43.0,112.12739032492732,5.036526751212023e-12,1009.437868756274,0.9129510617861112,0.8889209590848031,0.8294143300230904,0.8889209590848031,0.8663177020286706,0.08560473052893135,33.45436793029232,101.7704525767283,0.27281603485383776
6,3,Mediation,0.0004979701938655094,-0.000753365172364015,-0.00735822879646643,-0.000558287123868735,-0.0005762245429067,0.016096746643687734,0.03173314920083923,28.0,43.0,72.70453841916112,7.728757510316875e-06,1033.147244173056,0.954850615721809,0.9296280962571267,0.8919288621091589,0.9296280962571266,0.9306634455727781,0.062402913038383516,33.646206625697516,101.9622912721335,0.17689668715124363
7,3,Direct Path,0.03763111380855969,-0.002098212453851957,0.048865954454469625,-0.0011573476466770851,-0.003454309192326915,0.6234696491996365,0.1840928570800902,28.0,43.0,72.70453841916112,7.728757510316875e-06,1033.147244173056,0.954850615721809,0.9296280962571267,0.8919288621091589,0.9296280962571266,0.9306634455727781,0.062402913038383516,33.646206625697516,101.9622912721335,0.17689668715124363
8,4,Mediation,0.002572519374180709,-0.0011471175820798863,-0.013744609301107248,4.187859196002862e-05,8.643022109586875e-06,0.0026077281479087093,0.03913109868931496,28.0,43.0,146.24560468189816,0.0,1025.1954751078845,0.8796109250361696,0.8573485659732274,0.7809281548874564,0.8573485659732274,0.8151167777341175,0.10148960429843616,33.28834255629246,101.60442720272844,0.3558287218537668
9,4,Direct Path,0.05032946628888593,-0.002088769981069535,0.06663942046428621,-0.0033813426046848667,-0.005308213683072933,0.5015787945050437,0.2552531394056322,28.0,43.0,146.24560468189816,0.0,1025.1954751078845,0.8796109250361696,0.8573485659732274,0.7809281548874564,0.8573485659732274,0.8151167777341175,0.10148960429843616,33.28834255629246,101.60442720272844,0.3558287218537668
