,Age,Current_position,Salary,Actual_hrs,Effort,Policy_influence,Teaching_percent,Research_percent,Academic_Resources,Perceived_Autonomy,Burnout,Job_satisfaction,Age_centered,Salary_mod_Age,Actual_hrs_mod_Age,Effort_mod_Age,Policy_influence_mod_Age,Teaching_percent_mod_Age,Research_percent_mod_Age,Academic_Resources_mod_Age,Perceived_Autonomy_mod_Age,Age_centered_mod_Age
0,35.0,3.0,22.78846153846154,45.0,112.5,1.0,14.808018068887636,57.31225296442688,3.3333333333333335,3.3333333333333335,3.5,3.4,-5.4539325842696655,797.5961538461539,1575.0,3937.5,35.0,518.2806324110672,2005.928853754941,116.66666666666667,116.66666666666667,-190.8876404494383
1,34.0,3.0,17.884615384615383,50.0,125.0,3.0,28.846153846153843,57.692307692307686,3.5,3.8333333333333335,2.5,3.8,-6.4539325842696655,608.076923076923,1700.0,4250.0,102.0,980.7692307692307,1961.5384615384614,119.0,130.33333333333334,-219.43370786516863
2,26.0,2.0,21.75824175824176,35.0,100.0,2.0,11.428571428571429,80.0,4.166666666666667,3.5,3.0,4.6,-14.453932584269666,565.7142857142858,910.0,2600.0,52.0,297.14285714285717,2080.0,108.33333333333334,91.0,-375.8022471910113
3,36.0,3.0,28.846153846153847,50.0,125.0,1.0,16.666666666666664,50.0,2.6666666666666665,2.5,5.0,2.0,-4.4539325842696655,1038.4615384615386,1800.0,4500.0,36.0,599.9999999999999,1800.0,96.0,90.0,-160.34157303370796
4,29.0,3.0,28.846153846153847,40.0,100.0,1.0,7.5,87.5,4.333333333333333,4.333333333333333,3.5,4.2,-11.453932584269666,836.5384615384615,1160.0,2900.0,29.0,217.5,2537.5,125.66666666666666,125.66666666666666,-332.1640449438203
5,31.0,2.0,15.76923076923077,50.0,166.66666666666669,1.0,4.0,80.0,2.8333333333333335,2.1666666666666665,4.25,2.0,-9.453932584269666,488.84615384615387,1550.0,5166.666666666667,31.0,124.0,2480.0,87.83333333333334,67.16666666666666,-293.07191011235966
6,30.0,3.0,16.153846153846153,40.0,100.0,1.0,0.0,95.23809523809523,4.333333333333333,3.3333333333333335,2.0,4.2,-10.453932584269666,484.6153846153846,1200.0,3000.0,30.0,0.0,2857.142857142857,130.0,100.0,-313.61797752808997
7,49.0,6.0,17.307692307692307,40.0,100.0,3.0,33.17863138145552,33.17863138145552,2.6666666666666665,4.333333333333333,2.5,4.2,8.546067415730334,848.076923076923,1960.0,4900.0,147.0,1625.7529376913203,1625.7529376913203,130.66666666666666,212.33333333333331,418.7573033707864
8,31.0,3.0,27.28142307692308,40.0,100.0,2.0,10.0,70.0,4.5,4.166666666666667,3.25,3.8,-9.453932584269666,845.7241153846155,1240.0,3100.0,62.0,310.0,2170.0,139.5,129.16666666666669,-293.07191011235966
9,30.0,2.0,15.153846153846155,30.0,100.0,1.0,30.0,30.0,3.3333333333333335,2.8333333333333335,4.0,3.0,-10.453932584269666,454.61538461538464,900.0,3000.0,30.0,900.0,900.0,100.0,85.0,-313.61797752808997
10,31.0,2.0,20.192307692307693,50.0,125.0,2.0,30.0,40.0,3.6666666666666665,4.666666666666667,4.0,4.2,-9.453932584269666,625.9615384615385,1550.0,3875.0,62.0,930.0,1240.0,113.66666666666666,144.66666666666669,-293.07191011235966
11,32.0,3.0,27.53076923076923,50.0,125.0,1.0,9.836065573770492,73.77049180327869,1.3333333333333333,1.3333333333333333,4.5,2.2,-8.453932584269666,880.9846153846154,1600.0,4000.0,32.0,314.75409836065575,2360.655737704918,42.666666666666664,42.666666666666664,-270.5258426966293
